word;n;pos
Αἰσονίδης;29;proper
Αἰσονίδαο;15;proper
Αἰσονίδη;9;proper
πασσυδίῃ;9;verb
Ἡρακλῆος;8;proper
Ἡρακλῆα;7;proper
Ἡρακλῆι;6;proper
Αἰσονίδην;6;proper
Αἰσονίδῃ;6;proper 
βορέαο;6;noun
οἰόθι;6;adverb
θέσαν;5;verb
Ὑψιπύλεια;4;proper
Ἀχερουσίδος;4;proper
Εἰλατίδης;4;proper
Ῥείην;3;proper
Ἀφαρήιος;3;proper
Ἐρυβώτης;3;proper
Αἱμονίην;3;proper 
Αἰσονίδεω;3;proper
Βριμὼ;3;proper
Κάραμβιν;3;proper
Λέρνου;3;proper
Λἰσονίδης;3;proper
Μινωίδος;3;proper
ἀνῖαι;3;
ἑστηυῖα;3;verb
ἔλειπτο;3;verb
λελίητο;3;verb
μνώεο;3;
περιπολλὸν;3;adverb
υἱέε;3;noun
Ἁγνιάδαο;2;proper
Ἁγνιάδην;2;proper
Ῥήβαν;2;proper
Ὑψιπυλείῃ;2;proper
Ἀρεστορίδης;2;proper
Ἀρήνηθεν;2;adverb
Αἱμονιῆες;2;proper
Βεχείρων;2;proper
Βιθυνῶν;2;proper
Δίνδυμον;2;proper    
Κεκροπίηθεν;2;adverb
Κυταιέος;2;proper
Κυταιίδος;2;proper
Λἴγλη;2;proper 
Παναχαιίδος;2;proper
Πελοπηίδα;2;proper
Θοαντιὰς;2;proper
Θυνηίδος;2;proper
Θυνιάδος;2;proper
Σιντηίδα;2;proper
ἀλσηίδες;2;adjective
ἀμοιβήδην;2;adverb
ἀντιπέραιαν;2;adjective
ἀποτηλόθι;2;adverb
δαείη;2;
ἔμμορες;2;
ἐκεάσθη;2;verb
ἐναλίγκιαι;2;adjective
ἐρύθηνε;2;
ἐτήσιαι;2;adjective
ἐυξείνοισι;2;adjective
ἐυξείνως;2;adverb
ἐυκραὴς;2;adjective
κάλωας;2;noun
κέκλομαι;2;verb
μυδήνας;2;
νᾶεν;2;
νηόνδε;2;adverb
παρηγορέεσκ’;2;verb
πέλαγόσδε;2;adverb
πεπτάμενον;2;verb 
στάγες;2;noun
ᾤ;2;pronoun 
Ἁγνιάδης;1;proper
Ἁργῴης;1;proper
Ἑρκυνίου;1;proper
Ἡρακλέην;1;proper
Ἱππουρίδος;1;proper
Ῥέῃ;1;proper
